mean;0.47062063900110174,0.6164157179581344,0.6685640837311788,0.6854572163055453,0.7163055453543885;0.11970054341327,0.11380413752028956,0.10826541063739195,0.10647359440677913,0.10738229653089733
thresh-0.5;0.13624678663239073,0.24641939037825927,0.2948953360264414,0.32207124495042233,0.3477781858244583;0.05799980604355474,0.08509908022726018,0.09106195528475006,0.0955621380655961,0.08561495232126858
thresh-0.25;0.3786265148733015,0.49100257069408737,0.5137715754682336,0.4996327579875138,0.47888358428204186;0.10899694533448011,0.12233006241980246,0.12079964031345646,0.12318515868302178,0.11555278136796233
thresh-0;0.4686008079324275,0.5703268453911128,0.5785897906720529,0.5409474843922144,0.5058758721997796;0.11544052375534543,0.1177553760394291,0.11959992765538538,0.12534301318784852,0.12189510364971888
sigmoid;0.4805361733382299,0.5806096217407272,0.6033786265148733,0.5807932427469702,0.5440690414983474;0.11695440977784238,0.11627962114755422,0.11817814266983705,0.11958340464364114,0.12333518338083307
tanh;0.45317664340800584,0.5414983474109438,0.5391112743297833,0.4944913698127066,0.37146529562982006;0.11506268816959433,0.11735854839996758,0.11850013344705435,0.12101598715257599,0.11675198759590567
sig-v2;0.5536173338229894,0.6588321704002937,0.6920675725302975,0.6950055086301873,0.6841718692618436;0.11505867748813779,0.11286533870056718,0.10307529775869782,0.10481822919011766,0.108097992452281
tanh-v2;0.5532500918105031,0.6588321704002937,0.6926184355490268,0.6953727506426735,0.6838046272493573;0.11479899817077219,0.11310169509215376,0.10317398168745477,0.1047956035724832,0.10796780413952592
z-score;0.14047006977598236,0.2568857877341168,0.3024237972824091,0.33308850532500917,0.3791773778920308;0.0762503202191842,0.10776503098426635,0.11598323609856646,0.12075353167473693,0.12653819102372935
normed;0.14047006977598236,0.25762027175908925,0.302240176276166,0.3332721263312523,0.37789203084832906;0.0762503202191842,0.10821651276609416,0.11516259354722956,0.12135713007880974,0.127738600989945
normed+sig;0.1448769739258171,0.2653323540213,0.303892765332354,0.33143591626882113,0.3834006610356225;0.07740268971755265,0.10835905331383092,0.11605076197814698,0.11967635001193555,0.12691030112112273
normed+tanh;0.15075284612559675,0.26312890194638267,0.30444362835108335,0.3365773044436283,0.3813808299669482;0.0775335753384523,0.10629831495406115,0.11610349736349045,0.12088077065960773,0.12662574416638292
non-agg;0.1946204392404125,0.29061007037553366,0.3355891053372084,0.3579322652001864,0.3776995999673769;0.05066673188893166,0.06255450649621085,0.06832497900732362,0.07068650176619796,0.07216360831554156
non-agg-bin;0.20264873403712605,0.2767667195111018,0.3028312631556576,0.3030602866856438,0.2917380093478536;0.051264033624456556,0.06182531797456682,0.06630994151539263,0.06529419911022376,0.05925412381268227
non-agg-sig;0.19813436558579908,0.29473101058612294,0.34049103830483435,0.3602220316507085,0.37919569417635124;0.051859730795021236,0.06321883540980827,0.06847820416880489,0.07024966008804806,0.07168535443706033
non-agg-tan;0.2017083928577593,0.29476469240960756,0.33887154516508255,0.3605062432731315,0.3813756542930711;0.052250016311793455,0.0632045351095103,0.06794755086491994,0.07023003322615375,0.07210781653220777
non-agg-norm;0.1940320422253847,0.29028019771064223,0.33577341866332033,0.35857872330572405,0.37921675668887933;0.05049748410497288,0.06295094655804727,0.0684495639542332,0.06978039462714382,0.07247271845472021
log-reg;0.07858979067205288,0.1641571795813441,0.19849430774880644,0.21226588321704,0.23980903415350716;0.05905283352133611,0.10008812588629216,0.10929160250446186,0.1088580383506674,0.10471761343223306
relu;0.14047006977598236,0.2568857877341168,0.3024237972824091,0.33308850532500917,0.3791773778920308;0.0762503202191842,0.10776503098426635,0.11598323609856646,0.12075353167473693,0.12653819102372935
one-data;0.14432611090708777,0.2568857877341168,0.3024237972824091,0.33308850532500917,0.3791773778920308;0.0769381583925986,0.10776503098426635,0.11598323609856646,0.12075353167473693,0.12653819102372935
one-data-bin;0.17076753580609622,0.2592728608152773,0.2824091076019096,0.27983841351450606,0.29269188395152407;0.081573224403696,0.10493551498294774,0.10971313461388671,0.10395893600592615,0.09824910044707313
z-score;0.14047006977598236,0.2568857877341168,0.3024237972824091,0.33308850532500917,0.3791773778920308;0.0762503202191842,0.10776503098426635,0.11598323609856646,0.12075353167473693,0.12653819102372935
normed;0.14047006977598236,0.25762027175908925,0.302240176276166,0.3332721263312523,0.37789203084832906;0.0762503202191842,0.10821651276609416,0.11516259354722956,0.12135713007880974,0.127738600989945
normed+sig;0.1448769739258171,0.2653323540213,0.303892765332354,0.33143591626882113,0.3834006610356225;0.07740268971755265,0.10835905331383092,0.11605076197814698,0.11967635001193555,0.12691030112112273
normed+tanh;0.15075284612559675,0.26312890194638267,0.30444362835108335,0.3365773044436283,0.3813808299669482;0.0775335753384523,0.10629831495406115,0.11610349736349045,0.12088077065960773,0.12662574416638292log-reg-v2;0.07858979067205288,0.1641571795813441,0.19849430774880644,0.21226588321704,0.23980903415350716;0.05905283352133611,0.10008812588629216,0.10929160250446186,0.1088580383506674,0.10471761343223306
